phase,Modnames,K,AICc,Delta_AICc,AICcWt,LL
peak,Predation+Resource,7,766.005,0,0.499,-375.727
peak,Resource,6,766.721,0.717,0.349,-377.155
peak,Competition+Resource,7,768.622,2.617,0.135,-377.035
peak,Competition,3,772.673,6.668,0.018,-383.278
peak,Null,2,805.902,39.897,0,-400.922
peak,Predation,3,807.876,41.871,0,-400.88
decrease,Competition+Resource,7,1227.901,0,1,-606.736
decrease,Predation+Resource,7,1249.078,21.176,0,-617.324
decrease,Resource,6,1262.139,34.238,0,-624.909
decrease,Competition,3,1291.088,63.186,0,-642.501
decrease,Predation,3,1321.326,93.424,0,-657.62
decrease,Null,2,1339.571,111.67,0,-667.764
increase,Resource,6,575.278,0,0.529,-281.283
increase,Predation+Resource,7,576.616,1.339,0.271,-280.83
increase,Competition+Resource,7,577.228,1.95,0.2,-281.135
increase,Competition,3,593.929,18.651,0,-293.865
increase,Predation,3,594.714,19.436,0,-294.258
increase,Null,2,597.249,21.971,0,-296.575
low,Competition,3,114.794,0,0.378,-53.731
low,Null,2,115.825,1.03,0.226,-55.597
low,Resource,4,115.851,1.056,0.223,-52.749
low,Predation,3,117.833,3.039,0.083,-55.25
low,Competition+Resource,5,118.932,4.137,0.048,-52.591
low,Predation+Resource,5,119.154,4.359,0.043,-52.702
